zip,lat,lng,city,state_id,population
11223,40.59711,-73.97344,Brooklyn,NY,78566
94533,38.28132,-122.00693,Fairfield,CA,78537
95035,37.44319,-121.87632,Milpitas,CA,78479
60625,41.97318,-87.69963,Chicago,IL,78467
10453,40.85248,-73.9133,Bronx,NY,78270
91744,34.02914,-117.93735,La Puente,CA,78253
91709,33.95105,-117.72549,Chino Hills,CA,78200
78572,26.19848,-98.35633,Mission,TX,78197
91910,32.63653,-117.06301,Chula Vista,CA,77957
95630,38.66558,-121.141,Folsom,CA,77952
92563,33.58435,-117.14458,Murrieta,CA,77860
80134,39.48282,-104.77957,Parker,CO,77814
66062,38.83677,-94.78455,Olathe,KS,77794
90706,33.88802,-118.12709,Bellflower,CA,77396
92126,32.912,-117.14344,San Diego,CA,77239
37211,36.06704,-86.72345,Nashville,TN,77117
75126,32.74361,-96.45289,Forney,TX,77116
60623,41.84793,-87.71753,Chicago,IL,77061
37128,35.80343,-86.47483,Murfreesboro,TN,77016
11203,40.64958,-73.93431,Brooklyn,NY,76853
10452,40.8378,-73.92333,Bronx,NY,76745
94544,37.63352,-122.05678,Hayward,CA,76739
76179,32.91397,-97.43947,Fort Worth,TX,76468
87121,35.01031,-106.87816,Albuquerque,NM,76135
98012,47.84205,-122.19813,Bothell,WA,76123
97229,45.55032,-122.81026,Portland,OR,75626
33024,26.02501,-80.24475,Hollywood,FL,75579
77346,29.99027,-95.17777,Humble,TX,75577
10002,40.71597,-73.98692,New York,NY,75517
92880,33.92096,-117.61052,Eastvale,CA,75453
10462,40.84297,-73.85873,Bronx,NY,75452
11375,40.72315,-73.84373,Forest Hills,NY,75320
33411,26.71517,-80.20305,West Palm Beach,FL,75299
23464,36.79732,-76.17899,Virginia Beach,VA,75290
30041,34.20166,-84.09371,Cumming,GA,75160
76244,32.93101,-97.28076,Keller,TX,75149
89031,36.25846,-115.17075,North Las Vegas,NV,75097
33647,28.13401,-82.36017,Tampa,FL,74919
63376,38.80022,-90.61636,Saint Peters,MO,74876
10029,40.79265,-73.94788,New York,NY,74848
77083,29.69316,-95.64858,Houston,TX,74843
91335,34.20107,-118.5407,Reseda,CA,74802
80013,39.66145,-104.76577,Aurora,CO,74732
45011,39.42892,-84.50173,Hamilton,OH,74636
77845,30.56212,-96.27607,College Station,TX,74612
89108,36.20508,-115.2237,Las Vegas,NV,74566
83646,43.65,-116.43247,Meridian,ID,74522
33025,25.98737,-80.28134,Hollywood,FL,74512
60634,41.94627,-87.80639,Chicago,IL,74418
92805,33.83003,-117.90568,Anaheim,CA,74336
47906,40.48541,-86.98584,West Lafayette,IN,74283
10466,40.89104,-73.8461,Bronx,NY,74061
85326,33.23735,-112.58538,Buckeye,AZ,73912
22191,38.6249,-77.26849,Woodbridge,VA,73755
93306,35.46595,-118.78445,Bakersfield,CA,73370
85225,33.31748,-111.83167,Chandler,AZ,73316
75002,33.08946,-96.60639,Allen,TX,73295
33311,26.14412,-80.17319,Fort Lauderdale,FL,73280
77450,29.74753,-95.73696,Katy,TX,73226
92553,33.92335,-117.24532,Moreno Valley,CA,73189
06902,41.05949,-73.54751,Stamford,CT,72915
60085,42.35498,-87.86467,Waukegan,IL,72763
96797,21.40734,-158.01658,Waipahu,HI,72717
93065,34.26206,-118.77151,Simi Valley,CA,72585
37075,36.34085,-86.60845,Hendersonville,TN,72541
75211,32.73649,-96.90214,Dallas,TX,72389
28277,35.05212,-80.81622,Charlotte,NC,72375
80015,39.62737,-104.79497,Aurora,CO,72155
30127,33.87647,-84.69648,Powder Springs,GA,72126
85364,32.70469,-114.65664,Yuma,AZ,72125
85383,33.80297,-112.31734,Peoria,AZ,72101
93536,34.75267,-118.3889,Lancaster,CA,72013
78046,27.38371,-99.36803,Laredo,TX,71965
90003,33.96409,-118.27368,Los Angeles,CA,71708
91730,34.10023,-117.5811,Rancho Cucamonga,CA,71692
07305,40.69839,-74.08158,Jersey City,NJ,71643
91706,34.09627,-117.96855,Baldwin Park,CA,71620
10977,41.11749,-74.04825,Spring Valley,NY,71465
78640,29.99619,-97.82355,Kyle,TX,71460
46307,41.40215,-87.32693,Crown Point,IN,71418
11218,40.64315,-73.97645,Brooklyn,NY,71313
92105,32.73756,-117.09193,San Diego,CA,71284
60657,41.93965,-87.65495,Chicago,IL,71268
20906,39.08858,-77.05522,Silver Spring,MD,71216
77375,30.09393,-95.59095,Tomball,TX,71198
30096,33.97691,-84.14791,Duluth,GA,71141
84096,40.50539,-112.08546,Herriman,UT,71115
32218,30.48673,-81.66959,Jacksonville,FL,71066
77036,29.70119,-95.53659,Houston,TX,71036
94509,37.99214,-121.8142,Antioch,CA,71013
11215,40.66255,-73.98687,Brooklyn,NY,70922
33023,25.98812,-80.21263,Hollywood,FL,70914
30281,33.56338,-84.1961,Stockbridge,GA,70838
19124,40.01728,-75.09387,Philadelphia,PA,70763
11209,40.62175,-74.03013,Brooklyn,NY,70756
84015,41.12073,-112.06129,Clearfield,UT,70730
85281,33.42805,-111.93157,Tempe,AZ,70726
94536,37.57072,-121.98555,Fremont,CA,70707
30047,33.87104,-84.11304,Lilburn,GA,70592
20002,38.90511,-76.98431,Washington,DC,70580
75068,33.17713,-96.95228,Little Elm,TX,70562
94568,37.71596,-121.90113,Dublin,CA,70542
07002,40.66681,-74.11582,Bayonne,NJ,70468
85032,33.62624,-112.00368,Phoenix,AZ,70447
60614,41.92267,-87.6506,Chicago,IL,70444
90255,33.97697,-118.21725,Huntington Park,CA,70363
95123,37.24479,-121.83306,San Jose,CA,70279
87114,35.19718,-106.68216,Albuquerque,NM,70064
10701,40.94702,-73.88034,Yonkers,NY,70054
32828,28.53052,-81.17022,Orlando,FL,69937
77095,29.90834,-95.65492,Houston,TX,69912
28078,35.40545,-80.86633,Huntersville,NC,69907
32259,30.07109,-81.6029,Saint Johns,FL,69866
10469,40.86851,-73.84666,Bronx,NY,69855
95687,38.3344,-121.91765,Vacaville,CA,69741
34711,28.52724,-81.75349,Clermont,FL,69727
07055,40.85746,-74.12821,Passaic,NJ,69651
11213,40.67117,-73.93632,Brooklyn,NY,69630
33157,25.60671,-80.34314,Miami,FL,69605
77386,30.10153,-95.3561,Spring,TX,69549
33012,25.86583,-80.30247,Hialeah,FL,69408
75071,33.24558,-96.62951,Mckinney,TX,69396
92882,33.86367,-117.59989,Corona,CA,69385
10463,40.88841,-73.89905,Bronx,NY,69373
92021,32.83514,-116.87462,El Cajon,CA,69306
75228,32.82456,-96.6805,Dallas,TX,69288
11201,40.69477,-73.99031,Brooklyn,NY,69251
92407,34.22394,-117.38839,San Bernardino,CA,69191
93230,36.28967,-119.62514,Hanford,CA,69130
33033,25.47858,-80.4057,Homestead,FL,69075
11691,40.60152,-73.76173,Far Rockaway,NY,68704
91766,34.04192,-117.75698,Pomona,CA,68673
11706,40.706,-73.24208,Bay Shore,NY,68648
90631,33.94266,-117.95126,La Habra,CA,68615
02301,42.07791,-71.04223,Brockton,MA,68608
