city,state_id,lat,lng,population,zips
Parkville,MD,39.3832,-76.5519,30423,21234
Chamblee,GA,33.8842,-84.3007,30369,30341 30345 30366 39901
North Tonawanda,NY,43.0457,-78.8659,30338,14120
Saratoga,CA,37.2684,-122.0263,30335,95070 95071
Brownsburg,IN,39.8337,-86.383,30310,46234 46112
Newark,DE,39.6776,-75.7576,30309,19713 19711 19717 19716 19715 19725 19726
Granger,IN,41.7374,-86.1348,30279,46635 46545 46530
Niles,IL,42.0278,-87.8099,30262,60714 60701
Highland Park,IL,42.1823,-87.8104,30229,60035 60037
Middletown,NY,41.4459,-74.4236,30227,10940
Austintown,OH,41.0932,-80.7405,30215,44515 44511
Summerlin South,NV,36.1242,-115.3324,30075,89135
Ruskin,FL,27.7065,-82.4209,30074,33570 33571 33575
McDonough,GA,33.4397,-84.1505,30056,30253 30252
Bowling Green,OH,41.3776,-83.6495,30051,43402 43403
Drexel Hill,PA,39.9495,-75.3038,30015,19026
Matthews,NC,35.1195,-80.7101,29959,28105 28106
Fridley,MN,45.0841,-93.2595,29944,55421 55432
Paragould,AR,36.0555,-90.5149,29940,72450 72451
Greenville,TX,33.1116,-96.1099,29936,75401 75402
Winter Park,FL,28.5989,-81.3442,29929,32792 32789 32790
Algonquin,IL,42.1629,-88.3159,29904,60102
Hazleton,PA,40.9505,-75.9725,29886,18201
Crofton,MD,39.0144,-76.68,29878,21054 21114
Gloucester,MA,42.626,-70.6897,29862,01930 01931
San Carlos,CA,37.4982,-122.2677,29797,94070
Monterey,CA,36.5919,-121.8808,29772,93943 93944 93940
Rahway,NJ,40.6077,-74.2807,29748,07065
Atascadero,CA,35.4827,-120.6858,29735,93422 93423
Orchards,WA,45.689,-122.5306,29716,98682
Galesburg,IL,40.9506,-90.3763,29653,61401 61402
Hobart,IN,41.514,-87.2729,29646,46342 46410
Schererville,IN,41.4861,-87.4442,29627,46375 46307
Central,LA,30.5593,-91.0369,29603,70770 70791 70714 70739 70819 70818
